DIA,SU_R,SU,E_SU,EX_R,EX,E_EX,I0_R,I0,E_I0,I1_R,I1,E_I1,I2_R,I2,E_I2,I3_R,I3,E_I3,R_RE,RE,E_RE,ED_R,ED,E_ED,ECM
0,0.99992702,1.0,7.298532646912598E-5,2.7E-5,0.0,1.0,3.04E-5,0.0,1.0,1.55E-5,0.0,1.0,1.35E-7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024385781250049E-10
1,0.999914743,0.9999481529774369,3.341282611415395E-5,1.23E-5,1.8470225631281784E-6,0.8498355639733188,5.12E-5,0.0,1.0,1.85E-5,0.0,1.0,7.37E-7,0.0,1.0,6.42E-9,0.0,1.0,2.47E-6,0.0,1.0,0.0,0.0,0.0,5.244781799802713E-10
2,0.999895165,0.999898155569788,2.990883337285248E-6,1.96E-5,0.0,1.0,5.32E-5,1.8470225631281784E-6,0.9652815307682674,2.47E-5,0.0,1.0,1.38E-6,0.0,1.0,4.09E-8,0.0,1.0,5.93E-6,0.0,1.0,3.21E-10,0.0,1.0,4.596740965252486E-10
3,0.999873992,0.9998475564008615,2.6438930655281914E-5,2.12E-5,6.042611479729773E-7,0.9714971156616521,6.21E-5,1.4762665705783027E-6,0.976227591456066,3.03E-5,3.153453156560305E-7,0.989592563839735,2.18E-6,0.0,1.0,1.02E-7,0.0,1.0,1.01E-5,5.541067689384535E-8,0.994513794366946,2.36E-9,0.0,1.0,7.253748145466458E-10
4,0.999849043,0.9997970334278223,5.201742457201923E-5,2.49E-5,5.305952192429777E-7,0.9786909550504829,7.08E-5,1.7841942093839768E-6,0.9747995168166105,3.67E-5,5.232424835141404E-7,0.9857427116208681,3.09E-6,1.2613812626241213E-8,0.9959178599915076,1.96E-7,0.0,1.0,1.52E-5,1.3123043504295278E-7,0.9913664187471742,7.48E-9,0.0,1.0,1.2009224143380588E-9
5,0.999820265,0.9997463806101838,7.38976718141914E-5,2.88E-5,6.629659670967116E-7,0.9769803483646975,8.16E-5,1.9566450787920735E-6,0.976021506387352,4.36E-5,7.546070593755227E-7,0.982692498638176,4.13E-6,3.181662846072179E-8,0.9922962158690747,3.23E-7,6.00627711219519E-10,0.9981404714822926,2.13E-5,2.3820020394899949E-7,0.9888168918333803,1.73E-8,0.0,1.0,1.8612357725320256E-9
6,0.999786902,0.9996956385926317,9.128285956312102E-5,3.34E-5,7.546985216742141E-7,0.9774042358780176,9.4E-5,2.2268503386093033E-6,0.9763101027807521,5.14E-5,9.830234259786694E-7,0.9808750306229831,5.31E-6,5.7645081830184615E-8,0.9891440523860293,4.88E-7,2.055566731968936E-9,0.9957877730902276,2.85E-5,3.7521921083936416E-7,0.9868344136547592,3.34E-8,6.00627711219519E-13,0.9999820171343946,2.6472169428574846E-9
7,0.999748273,0.999644775709865,1.0352334975729941E-4,3.86E-5,8.781008370152115E-7,0.9772512736524557,1.08E-4,2.5345493898748694E-6,0.9765319500937512,6.03E-5,1.2255941065920245E-6,0.9796750562754225,6.64E-6,8.907416697893813E-8,0.986585215816425,6.92E-7,4.594876705252665E-9,0.9933600047611957,3.69E-5,5.455580662154793E-7,0.985215228557846,5.78E-8,2.6561944431884548E-12,0.9999540450788376,3.514051673717126E-9
8,0.999703536,0.9995937774446444,1.0979110446554896E-4,4.47E-5,1.0160264350480631E-6,0.9772701021242044,1.25E-4,2.9038858005810523E-6,0.9767689135953516,7.04E-5,1.4867388762819238E-6,0.9788815500528135,8.15E-6,1.2590330664084005E-7,0.9845517415164614,9.39E-7,8.376803952374502E-9,0.9910790160251602,4.69E-5,7.523096341870115E-7,0.9839592828531554,9.24E-8,7.25107114844112E-12,0.9999215252040212,4.475824841407685E-9
9,0.99965173,0.9995426207196105,1.0914729311720395E-4,5.18E-5,1.1770361615960254E-6,0.9772772941776828,1.45E-4,3.3370102810246744E-6,0.9769861359929332,8.19E-5,1.7743808141894637E-6,0.9783347885935352,9.85E-6,1.6813617441587498E-7,0.9829303376227537,1.23E-6,1.3534219341685052E-8,0.9889965696409064,5.84E-5,9.99722912040239E-7,0.9828814569856124,1.39E-7,1.5627875100815623E-11,0.9998875692438789,5.543258305434321E-9
10,0.999591738,0.9994912805591654,1.004984705412249E-4,6.0E-5,1.363029409184032E-6,0.9772828431802661,1.68E-4,3.8442026715759905E-6,0.9771178412406191,9.52E-5,2.095700962816908E-6,0.9779863344241921,1.18E-5,2.160928641385268E-7,0.9816870454119893,1.58E-6,2.0186881579285792E-8,0.9872234926713381,7.19E-5,1.2929104853845652E-6,0.982017934834707,2.01E-7,2.9162094442500675E-11,0.9998549149530225,6.7834436794186845E-9
11,0.999522269,0.9994397275376005,8.258091386205935E-5,6.95E-5,1.5784575368559314E-6,0.977288380764663,1.94E-4,4.43557871522172E-6,0.9771361921895788,1.1E-4,2.4586301134135633E-6,0.9776488171507858,1.4E-5,2.703368891637048E-7,0.9806902222025925,1.98E-6,2.845781530208673E-8,0.985627366009047,8.76E-5,1.6380457519749994E-6,0.981300847580194,2.8E-7,4.934897602178647E-11,0.999823753657065,8.313511639534921E-9
12,0.999441826,0.9993879277157487,5.3928385674031065E-5,8.04E-5,1.82783547490532E-6,0.9772657279240632,2.25E-4,5.123674963631925E-6,0.977228111272747,1.28E-4,2.871715824524739E-6,0.9775647201209006,1.65E-5,3.3167184717003126E-7,0.9798986759290891,2.45E-6,3.8484575310889795E-8,0.9842920100771879,1.06E-4,2.0424548182417175E-6,0.9807315583184744,3.79E-7,7.78067913238732E-11,0.9997947050360848,1.051948011496687E-8
13,0.999348679,0.9993358417523734,1.2845614244889273E-5,9.31E-5,2.1165669894952904E-6,0.977265660692854,2.6E-4,5.923026415349666E-6,0.9772191291717319,1.49E-4,3.3444493833698965E-6,0.9775540309840948,1.93E-5,4.011332223074136E-7,0.9792158952172324,2.99E-6,5.0429225569213794E-8,0.983134038271166,1.27E-4,2.5147729056819758E-6,0.9801986385379371,5.01E-7,1.1629136663476299E-10,0.9997678815037231,1.3759507353925511E-8
14,0.999240824,0.9992834241045467,4.263247009482508E-5,1.08E-4,2.450855739158452E-6,0.9773068913040884,3.01E-4,6.850654200007694E-6,0.9772403514949911,1.72E-4,3.887474882074883E-6,0.9773984018484019,2.26E-5,4.799943881198982E-7,0.9787613102601815,3.61E-6,6.448692994783042E-8,0.9821365845019859,1.51E-4,3.065120541699405E-6,0.9797011884655669,6.51E-7,1.667205922039768E-10,0.9997439007800247,1.876600836914674E-8
